UPRN,nearest_rd
38011581,id457AD3C8-F6D3-4DBC-8B30-034D4323CB9A
38011582,id457AD3C8-F6D3-4DBC-8B30-034D4323CB9A
38011583,id6441D1D0-6C93-47FB-9475-DB5155283A6E
38011810,id3FC8CB29-7618-42FA-9D51-8386B5AF307F
38011811,id3FC8CB29-7618-42FA-9D51-8386B5AF307F
38011812,id3FC8CB29-7618-42FA-9D51-8386B5AF307F
38011813,id3FC8CB29-7618-42FA-9D51-8386B5AF307F
38011814,id3FC8CB29-7618-42FA-9D51-8386B5AF307F
38011815,id3FC8CB29-7618-42FA-9D51-8386B5AF307F
38011816,id3FC8CB29-7618-42FA-9D51-8386B5AF307F
38011817,id3FC8CB29-7618-42FA-9D51-8386B5AF307F
38011818,id3FC8CB29-7618-42FA-9D51-8386B5AF307F
38011819,id3FC8CB29-7618-42FA-9D51-8386B5AF307F
38011820,id3FC8CB29-7618-42FA-9D51-8386B5AF307F
38011821,id3FC8CB29-7618-42FA-9D51-8386B5AF307F
38011822,id3FC8CB29-7618-42FA-9D51-8386B5AF307F
38011823,id3FC8CB29-7618-42FA-9D51-8386B5AF307F
38011824,id3FC8CB29-7618-42FA-9D51-8386B5AF307F
38011825,id3FC8CB29-7618-42FA-9D51-8386B5AF307F
38011826,id3FC8CB29-7618-42FA-9D51-8386B5AF307F
38011827,id3FC8CB29-7618-42FA-9D51-8386B5AF307F
38011828,id3FC8CB29-7618-42FA-9D51-8386B5AF307F
38011829,id3FC8CB29-7618-42FA-9D51-8386B5AF307F
38011830,id3FC8CB29-7618-42FA-9D51-8386B5AF307F
38011831,id3FC8CB29-7618-42FA-9D51-8386B5AF307F
38011832,id3FC8CB29-7618-42FA-9D51-8386B5AF307F
38011833,id3FC8CB29-7618-42FA-9D51-8386B5AF307F
38011834,id3FC8CB29-7618-42FA-9D51-8386B5AF307F
38011835,id3FC8CB29-7618-42FA-9D51-8386B5AF307F
38011836,id3FC8CB29-7618-42FA-9D51-8386B5AF307F
38011837,id3FC8CB29-7618-42FA-9D51-8386B5AF307F
38011838,id3FC8CB29-7618-42FA-9D51-8386B5AF307F
38011839,id3FC8CB29-7618-42FA-9D51-8386B5AF307F
38011840,id3FC8CB29-7618-42FA-9D51-8386B5AF307F
38011841,id3FC8CB29-7618-42FA-9D51-8386B5AF307F
38011842,id3FC8CB29-7618-42FA-9D51-8386B5AF307F
38011843,id3FC8CB29-7618-42FA-9D51-8386B5AF307F
38011844,id3FC8CB29-7618-42FA-9D51-8386B5AF307F
38011845,id3FC8CB29-7618-42FA-9D51-8386B5AF307F
38011846,id3FC8CB29-7618-42FA-9D51-8386B5AF307F
38011847,id3FC8CB29-7618-42FA-9D51-8386B5AF307F
38011848,id3FC8CB29-7618-42FA-9D51-8386B5AF307F
38011849,id3FC8CB29-7618-42FA-9D51-8386B5AF307F
38012425,idD45D0B37-8EC4-4288-91CA-32439823A647
38012426,idD45D0B37-8EC4-4288-91CA-32439823A647
38012427,id84146942-6B80-41BA-8935-D15EBBD7D2D0
38012428,idD1596258-AA68-400D-AA20-C43EDB2281F1
38023666,idEED7D100-B815-4497-A594-E480CADB3E04
38023667,idF377A0F4-5216-438B-9CCA-F78B0C9C8CF4
38023668,id2A445C07-D339-48E2-AC81-48FB644E5709
38023669,id2A445C07-D339-48E2-AC81-48FB644E5709
38023670,id2A445C07-D339-48E2-AC81-48FB644E5709
38023671,id2A445C07-D339-48E2-AC81-48FB644E5709
38023672,id2A445C07-D339-48E2-AC81-48FB644E5709
38023673,id2A445C07-D339-48E2-AC81-48FB644E5709
38023674,id2A445C07-D339-48E2-AC81-48FB644E5709
38023675,id2A445C07-D339-48E2-AC81-48FB644E5709
38023676,id2A445C07-D339-48E2-AC81-48FB644E5709
38023677,id2A445C07-D339-48E2-AC81-48FB644E5709
38023678,id2A445C07-D339-48E2-AC81-48FB644E5709
38023679,id2A445C07-D339-48E2-AC81-48FB644E5709
38023680,id2A445C07-D339-48E2-AC81-48FB644E5709
38023681,id2A445C07-D339-48E2-AC81-48FB644E5709
38023682,id2A445C07-D339-48E2-AC81-48FB644E5709
38023683,id2A445C07-D339-48E2-AC81-48FB644E5709
